rank,nodeid,count,percent
1487,4995,19,0.00%
1488,8640,19,0.00%
1489,29870,19,0.00%
1490,47312,19,0.00%
1491,40631,18,0.00%
1492,58854,18,0.00%
1493,61805,18,0.00%
1494,6245,17,0.00%
1495,55866,17,0.00%
1496,58545,17,0.00%
1497,60887,17,0.00%
1498,10099,16,0.00%
1499,14209,16,0.00%
1500,21170,16,0.00%
1501,23881,16,0.00%
1502,39598,16,0.00%
1503,40132,16,0.00%
1504,45317,16,0.00%
1505,49408,16,0.00%
1506,720,15,0.00%
1507,6778,15,0.00%
1508,11568,15,0.00%
1509,12439,15,0.00%
1510,14730,15,0.00%
1511,28424,15,0.00%
1512,46882,15,0.00%
1513,42671,14,0.00%
1514,56149,14,0.00%
1515,58603,14,0.00%
1516,9511,13,0.00%
1517,23801,13,0.00%
1518,25690,13,0.00%
1519,7618,12,0.00%
1520,22407,12,0.00%
1521,32942,12,0.00%
1522,46469,12,0.00%
1523,4944,11,0.00%
1524,13961,11,0.00%
1525,23024,11,0.00%
1526,26096,11,0.00%
1527,26557,11,0.00%
1528,30030,11,0.00%
1529,30919,11,0.00%
1530,32992,11,0.00%
1531,39728,11,0.00%
1532,42637,11,0.00%
1533,43336,11,0.00%
1534,49588,11,0.00%
1535,53002,11,0.00%
1536,58198,11,0.00%
1537,59016,11,0.00%
1538,61264,11,0.00%
1539,62697,11,0.00%
1540,1945,10,0.00%
1541,11645,10,0.00%
1542,13202,10,0.00%
1543,17171,10,0.00%
1544,33196,10,0.00%
1545,57923,10,0.00%
1546,768,9,0.00%
1547,5950,9,0.00%
1548,34774,9,0.00%
1549,49270,9,0.00%
1550,51404,9,0.00%
1551,57199,9,0.00%
1552,61327,9,0.00%
1553,17038,8,0.00%
1554,32410,8,0.00%
1555,444,7,0.00%
1556,5262,7,0.00%
1557,6982,7,0.00%
1558,35750,7,0.00%
1559,52904,7,0.00%
1560,9009,6,0.00%
1561,11784,6,0.00%
1562,19506,6,0.00%
1563,35179,6,0.00%
1564,53225,6,0.00%
1565,53992,6,0.00%
1566,58827,6,0.00%
1567,60532,6,0.00%
1568,61950,6,0.00%
1569,64024,6,0.00%
1570,5289,5,0.00%
1571,18359,5,0.00%
1572,21973,5,0.00%
1573,22061,5,0.00%
1574,24677,5,0.00%
1575,30690,5,0.00%
1576,32364,5,0.00%
1577,34306,5,0.00%
1578,37884,5,0.00%
1579,55146,5,0.00%
1580,56066,5,0.00%
1581,56967,5,0.00%
1582,60302,5,0.00%
1583,61478,5,0.00%
1584,63944,5,0.00%
1585,1427,4,0.00%
1586,6534,4,0.00%
1587,6981,4,0.00%
1588,8348,4,0.00%
1589,17445,4,0.00%
1590,24755,4,0.00%
1591,36543,4,0.00%
1592,51235,4,0.00%
1593,56435,4,0.00%
1594,61050,4,0.00%
1595,62162,4,0.00%
1596,30926,3,0.00%
1597,54043,3,0.00%
1598,55908,3,0.00%
1599,57061,3,0.00%
1600,57984,3,0.00%
1601,20844,2,0.00%
1602,24691,2,0.00%
1603,46106,2,0.00%
1604,46292,2,0.00%
1605,62217,2,0.00%
1606,63357,2,0.00%
1607,5087,1,0.00%
1608,17814,1,0.00%
1609,27285,1,0.00%
1610,33363,1,0.00%
1611,34625,1,0.00%
1612,37504,1,0.00%
1613,39447,1,0.00%
1614,60204,1,0.00%
1615,64842,1,0.00%
